iter	Poisson
901	-341.2229214
902	-341.2342307
903	-341.2726815
904	-341.3155968
905	-341.3720754
906	-341.388623
907	-341.4381412
908	-341.462081
909	-341.4813623
910	-341.4967957
911	-341.5544921
912	-341.5921021
913	-341.6306687
914	-341.6551657
915	-341.6718759
916	-341.704899
917	-341.7520923
918	-341.8055136
919	-341.8312932
920	-341.9056962
921	-341.9676947
922	-341.9849047
923	-342.042408
924	-342.0830561
925	-342.1435824
926	-342.2103598
927	-342.2719114
928	-342.3026216
929	-342.3206917
930	-342.3776788
931	-342.4311168
932	-342.4517074
933	-342.4924151
934	-342.5172414
935	-342.5512374
936	-342.5766296
937	-342.6297574
938	-342.676183
939	-342.7222974
940	-342.7393831
941	-342.7967718
942	-342.8301373
943	-342.8823867
944	-342.9032159
945	-342.9255751
946	-342.9502065
947	-342.9961096
948	-343.0366873
949	-343.0902981
950	-343.1886712
951	-343.2115979
952	-343.2346051
953	-343.2552915
954	-343.2717592
955	-343.2913078
956	-343.3185297
957	-343.3349882
958	-343.3671894
959	-343.3980147
960	-343.4139359
961	-343.4381158
962	-343.445285
963	-343.4672979
964	-343.5125478
965	-343.5451076
966	-343.5569301
967	-343.5857227
968	-343.6053389
969	-343.6293139
970	-343.6593716
971	-343.6993441
972	-343.7322987
973	-343.750461
974	-343.7690431
975	-343.8153786
976	-343.8825754
977	-343.9312326
978	-343.9703469
979	-344.022124
980	-344.0797782
981	-344.0898202
982	-344.1383532
983	-344.1623086
984	-344.2162838
985	-344.2596192
986	-344.2850945
987	-344.3581804
988	-344.3725283
989	-344.4246725
990	-344.5243874
991	-344.585838
992	-344.6419972
993	-344.7002809
994	-344.7686347
995	-344.801576
996	-344.8377906
997	-344.8672168
998	-344.9080299
999	-344.9582843
